a’bbõnd,ˈɑˀbːənd
bǭn,ˈbɒːn
bǭik,ˈbɒːik
bǭik,ˈbɒːik
bo’ŗ,ˈboˀrʲ
bǭļa,ˈbɒːʎɑ
borkõn,ˈborkən
bǭr,ˈbɒːr
brissõl,ˈbrisːəl
brēḑiɡ,ˈbreːɟiɡ
bre’ḑḑõ,ˈbreˀɟːə
brīõz,ˈbriːɯz
brūokst,ˈbruːokst
brī,ˈbriː
brõuvõ,ˈbrɯuvə
bukštīerõ,ˈbukʃtiːerə
bulɡārij,ˈbulɡɑːrij
brūni,ˈbruːni
broutšõ,ˈbrout͡ʃə
bu’ļ,ˈbuˀʎ
buzārtõ,ˈbuzɑːrtə
bumbīer,ˈbumbiːer
bu’ŗŗõ,ˈbuˀrʲːə
būmbal,ˈbuːmbɑl
būolɡõz,ˈbuːolɡəz
dadžā,ˈdɑdʒɑː
būom,ˈbuːom
dabā,ˈdɑbɑː
būoḑ,ˈbuːoɟ
da’ɡɡõl,ˈdɑˀɡːəl
daņtš,ˈdɑɲt͡ʃ
da’nktõ,ˈdɑˀnktə
danktõ,ˈdɑnktə
damā,ˈdɑmɑː
dattõd,ˈdɑtːəd
datōr,ˈdɑtoːr
daņtšõ,ˈdɑɲt͡ʃə
derk,ˈderk
dālba,ˈdɑːlbɑ
datīv,ˈdɑtiːv
dēļ,ˈdeːʎ
detsembõr,ˈdetsembər
dek,ˈdek
dēņmǭ,ˈdeːɲmɒː
dillõd,ˈdilːəd
drukkõ,ˈdrukːə
duņtš,ˈduɲt͡ʃ
dullõnz,ˈdulːənz
dūoņiɡ,ˈduːoɲiɡ
drū’ošõ,ˈdruːˀoʃə
dūrbal,ˈduːrbɑl
ḑ,ɟ
d,d̪
e’ɡļi,ˈeˀɡʎi
e’ḑḑi,ˈeˀɟːi
eirōp,ˈeiroːp
elatīv,ˈelɑtiːv
e’ḑḑini’m,ˈeˀɟːiniˀm
eitõ,ˈeitə
e’ɡɡiļ,ˈeˀɡːiʎ
elektrīb,ˈelektriːb
eļm,ˈeʎm
eļkõ,ˈeʎkə
eļ,ˈeʎ
eļļõ,ˈeʎːə
enɡlišmǭ,ˈenɡliʃmɒː
enɡõl,ˈenɡəl
enɡõlmǭ,ˈenɡəlmɒː
entsiklopēdij,ˈentsiklopeːdij
epțõ,ˈepcə
erk,ˈerk
e’žmi,ˈeˀʒmi
e’žmõks,ˈeˀʒməks
ețkā,ˈeckɑː
erktõ,ˈerktə
ertļõ,ˈertʎə
evanɡēlium,ˈevɑnɡeːlium
e’žžõmpǟva,ˈeˀʒːəmpæːvɑ
e’žǭ’rõn,ˈeˀʒɒːˀrən
ē,eː
ēdrõm,ˈeːdrəm
ēbrikš,ˈeːbrikʃ
ē’ḑõ,ˈeːˀɟə
ēdrikšõ,ˈeːdrikʃə
ē’ņõz,ˈeːˀɲəz
ēļ,ˈeːʎ
ē’ḑtõ,ˈeːˀɟtə
ērɡiļnikā,ˈeːrɡiʎnikɑː
ērɡiļd,ˈeːrɡiʎd
ēriņ,ˈeːriɲ
ētam,ˈeːtɑm
ēstimǭ,ˈeːstimɒː
februār,ˈfebruɑːr
ēviļ,ˈeːviʎ
ēviļtõ,ˈeːviʎtə
frantsij,ˈfrɑntsij
fakt,ˈfɑkt
fonētik,ˈfoneːtik
februar,ˈfebruɑr
e,e
ɡaffõl,ˈɡɑfːəl
ɡadāɡ,ˈɡɑdɑːɡ
ɡārban,ˈɡɑːrbɑn
f,f
ɡilɡõ,ˈɡilɡə
ɡenitīv,ˈɡenitiːv
ɡoŗīkšõ,ˈɡorʲiːkʃə
ɡipk,ˈɡipk
ɡlǭz,ˈɡlɒːz
ɡidīkšõ,ˈɡidiːkʃə
ɡiltõ,ˈɡiltə
ɡlä’bbõ,ˈɡlæˀbːə
ɡrēkõmǭ,ˈɡreːkəmɒː
ɡuŗkõz,ˈɡurʲkəz
ɡūnɡaserk,ˈɡuːnɡɑserk
ɡrīekmǭ,ˈɡriːekmɒː
ɡrād,ˈɡrɑːd
ɡ,ɡ
ɡūoɡõz,ˈɡuːoɡəz
ɡūlma,ˈɡuːlmɑ
ɡrant,ˈɡrɑnt
idāntõ,ˈidɑːntə
idā,ˈidɑː
i’bbi,ˈiˀbːi
i’ddõ,ˈiˀdːə
holand,ˈholɑnd
ibūks,ˈibuːks
i’ɡ,ˈiˀɡ
horvātij,ˈhorvɑːtij
iɡāb,ˈiɡɑːb
i’ɡmõd,ˈiˀɡməd
iɡāniz,ˈiɡɑːniz
i’ɡɡõz,ˈiˀɡːəz
i’ɡɡi,ˈiˀɡːi
iɡā,ˈiɡɑː
ikš,ˈikʃ
ij,ij
h,x
ikšlu’ɡ,ˈikʃluˀɡ
ikši’ɡɡiņ,ˈikʃiˀɡːiɲ
ildīņ,ˈildiːɲ
ikštäuž,ˈikʃtæuʒ
ilp,ˈilp
ikštuoistõn,ˈikʃtuoistən
i’ldõ,ˈiˀldə
illatīv,ˈilːɑtiːv
i’lzõ,ˈiˀlzə
i’ļ,ˈiˀʎ
ilā,ˈilɑː
i’llõ,ˈiˀlːə
i’ļdžēmḑa,ˈiˀʎdʒeːmɟɑ
i’ļļõ,ˈiˀʎːə
i’ļļiskūol,ˈiˀʎːiskuːol
i’m,ˈiˀm
immõr,ˈimːər
immõrtõ,ˈimːərtə
imāb,ˈimɑːb
i’mtõ,ˈiˀmtə
inesīv,ˈinesiːv
imū,ˈimuː
i’mlõ,ˈiˀmlə
i’mmõ,ˈiˀmːə
ind,ˈind
informātsij,ˈinformɑːtsij
irē jo’uɡ,ˈireːjoˀuɡ
instrumentāl,ˈinstrumentɑːl
i’nnõ,ˈiˀnːə
irdi,ˈirdi
irē,ˈireː
irīkšõ,ˈiriːkʃə
irɡ,ˈirɡ
irm,ˈirm
irɡõ,ˈirɡə
irmtõ,ˈirmtə
irmõz,ˈirməz
iŗāmǭŗa,ˈirʲɑːmɒːrʲɑ
istōrij,ˈistoːrij
itāļmǭ,ˈitɑːʎmɒː
istõ,ˈistə
itālij,ˈitɑːlij
island,ˈislɑnd
itkõ,ˈitkə
izā,ˈizɑː
izāmǭ,ˈizɑːmɒː
izāsõzār,ˈizɑːsɯzɑːr
izānd,ˈizɑːnd
i’z,ˈiˀz
izāve’ļ,ˈizɑːveˀʎ
i’zrael,ˈiˀzrɑel
i’zt,ˈiˀzt
ī’dlimi,ˈiːˀdlimi
ī’dõks,ˈiːˀdəks
izraēl,ˈizrɑeːl
ī’diņțõ,ˈiːˀdiɲcə
ī’dõkskimdõ,ˈiːˀdəkskimdə
ī,iː
ī’dõkskimdõz,ˈiːˀdəkskimdəz
ī’dõksmõz,ˈiːˀdəksməz
ī’dõkssadāz,ˈiːˀdəkssɑdɑːz
ī’dõkstuoistõn,ˈiːˀdəkstuoistən
ī’dõkssadā,ˈiːˀdəkssɑdɑː
ī’dsku’bs,ˈiːˀdskuˀbs
ī’dõkstuoistõnz,ˈiːˀdəkstuoistənz
īedõ,ˈiːedə
ī’edõ,ˈiːˀedə
ī’dtõlu’ɡɡõ,ˈiːˀdtəluˀɡːə
īeīr,ˈiːeiːr
īeltõ,ˈiːeltə
īe,ˈiːe
īevad,ˈiːevɑd
īekõ,ˈiːekə
ī’dtuoistõnz,ˈiːˀdtuoistənz
īlbõks,ˈiːlbəks
īlɡaz,ˈiːlɡɑz
ī’m,ˈiːˀm
īlma,ˈiːlmɑ
īņõkst,ˈiːɲəkst
īnda,ˈiːndɑ
īņõzki’lliji,ˈiːɲəzkiˀlːiji
īr,ˈiːr
īņõz,ˈiːɲəz
īra,ˈiːrɑ
īrɡandõks,ˈiːrɡɑndəks
īrõmǭ,ˈiːrəmɒː
īra jo’uɡ,ˈiːrɑjoˀuɡ
īsland,ˈiːslɑnd
ī’ti,ˈiːˀti
ī’t,ˈiːˀt
ī’ž,ˈiːˀʒ
ī’žki’lliji,ˈiːˀʒkiˀlːiji
jadā,ˈjɑdɑː
jakt,ˈjɑkt
ja’mdi,ˈjɑˀmdi
ja’ɡɡõ,ˈjɑˀɡːə
jaļkš,ˈjɑʎkʃ
jaktõ,ˈjɑktə
ja’mdõ,ˈjɑˀmdə
janvār,ˈjɑnvɑːr
ja’ɡ,ˈjɑˀɡ
jamstõ,ˈjɑmstə
jālɡa,ˈjɑːlɡɑ
jarā,ˈjɑrɑː
jatkõ,ˈjɑtkə
jatk,ˈjɑtk
jālɡab,ˈjɑːlɡɑb
jālɡab,ˈjɑːlɡɑb
jämp,ˈjæmp
jālɡiņ,ˈjɑːlɡiɲ
jedāl,ˈjedɑːl
j,j
je’dmõl,ˈjeˀdməl
je’dsõ,ˈjeˀdsə
je’ddõpē’ḑõn,ˈjeˀdːəpeːˀɟən
je’ddõ,ˈjeˀdːə
je’ds,ˈjeˀds
je’dstõ,ˈjeˀdstə
je’dspē’ḑõn,ˈjeˀdspeːˀɟən
jeɡāikš,ˈjeɡɑːikʃ
jeɡā,ˈjeɡɑː
ja,ˈjɑ
jeiji,ˈjeiji
jeime’r,ˈjeimeˀr
jelāb,ˈjelɑːb
jeksõ,ˈjeksə
jei,ˈjei
jelāj,ˈjelɑːj
je’l,ˈjeˀl
jelānikā,ˈjelɑːnikɑː
je’lsõ,ˈjeˀlsə
jelāmi,ˈjelɑːmi
jemānd,ˈjemɑːnd
je’llõ,ˈjeˀlːə
jemākēļ,ˈjemɑːkeːʎ
jemā,ˈjemɑː
jemāsõzār,ˈjemɑːsɯzɑːr
jemīņ,ˈjemiːɲ
jenɡ,ˈjenɡ
jenɡõ,ˈjenɡə
jemāve’ļ,ˈjemɑːveˀʎ
je’nɡõz,ˈjeˀnɡəz
je’nnõ,ˈjeˀnːə
jērnaz,ˈjeːrnɑz
jettõ,ˈjetːə
jo’uļiki,ˈjoˀuʎiki
joud,ˈjoud
joudzi,ˈjoudzi
jouɡūzõ,ˈjouɡuːzə
joudõ,ˈjoudə
jo’uɡ,ˈjoˀuɡ
joutõm,ˈjoutəm
joutõmläpš,ˈjoutəmlæpʃ
jovātõ,ˈjovɑːtə
jo’vd,ˈjoˀvd
jǭ’dõ,ˈjɒːˀdə
jǭlõks,ˈjɒːləks
jo,juo
jōtaz,ˈjoːtɑz
jǭra,ˈjɒːrɑ
jõbā,ˈjɯbɑː
jǭḑ,ˈjɒːɟ
jǭsõ,ˈjɒːsə
jǭņpǟva kū,ˈjɒːɲpæːvɑkuː
jǭņpǟva,ˈjɒːɲpæːvɑ
jõuɡõmǭŗa,ˈjɯuɡəmɒːrʲɑ
julɡõ,ˈjulɡə
jõvīst,ˈjɯviːst
jõ’vvõ,ˈjɯˀvːə
jõvā ūomõɡ,ˈjɯvɑː ˈuːoməɡ
jumāl,ˈjumɑːl
jõvā,ˈjɯvɑː
jõuɡõ,ˈjɯuɡə
julɡi,ˈjulɡi
jõvām,ˈjɯvɑːm
jumāl,ˈjumɑːl
juo,ˈjuo
jū’odiji,ˈjuːˀodiji
jūdõmǭ,ˈjuːdəmɒː
jutlõks,ˈjutləks
jūlij,ˈjuːlij
jurɡ,ˈjurɡ
jūnij,ˈjuːnij
jūoimi,ˈjuːoimi
jū’od,ˈjuːˀod
jutlõ,ˈjutlə
jūodõ,ˈjuːodə
jū’odõ,ˈjuːˀodə
jūoimki,ˈjuːoimki
jūom,ˈjuːom
jūoji,ˈjuːoji
jūokš,ˈjuːokʃ
jūomi,ˈjuːomi
jūŗ,ˈjuːrʲ
jūomnāiɡa,ˈjuːomnɑːiɡɑ
jū’rõ,ˈjuːˀrə
jūotõ,ˈjuːotə
jūokšõ,ˈjuːokʃə
jūsõ,ˈjuːsə
kabāt,ˈkɑbɑːt
kabāl,ˈkɑbɑːl
kabātš,ˈkɑbɑːt͡ʃ
kaffekuodā,ˈkɑfːekuodɑː
ka’d,ˈkɑˀd
kaffetas,ˈkɑfːetɑs
ka’ddõ,ˈkɑˀdːə
ka’ɡɡõl,ˈkɑˀɡːəl
ka’ɡɡõrz,ˈkɑˀɡːərz
kaibõ,ˈkɑibə
kaimkuodā,ˈkɑimkuodɑː
kaffe,ˈkɑfːe
kaimõ,ˈkɑimə
kajāɡõz,ˈkɑjɑːɡəz
kaits,ˈkɑits
k,k
kakšsadā,ˈkɑkʃsɑdɑː
kak,ˈkɑk
ka,ˈkɑ
kakštuoistõn,ˈkɑkʃtuoistən
ka’jtõ,ˈkɑˀjtə
ka’j,ˈkɑˀj
kalādrok,ˈkɑlɑːdrok
kalā,ˈkɑlɑː
kamār,ˈkɑmɑːr
kanā,ˈkɑnɑː
kanād,ˈkɑnɑːd
kanɡpūd,ˈkɑnɡpuːd
kalāmīez,ˈkɑlɑːmiːez
kakš,ˈkɑkʃ
ka’ņki,ˈkɑˀɲki
kanɡtõ,ˈkɑnɡtə
kaptēn,ˈkɑpteːn
kakškimdõ,ˈkɑkʃkimdə
kaitsõ,ˈkɑitsə
kanɡti,ˈkɑnɡti
kapīņțõ,ˈkɑpiːɲcə
kaļ,ˈkɑʎ
kaļ,ˈkɑʎ
kand,ˈkɑnd
kartõ,ˈkɑrtə
kard,ˈkɑrd
ka’rdi,ˈkɑˀrdi
kardi,ˈkɑrdi
karɡõ,ˈkɑrɡə
kastõ,ˈkɑstə
kast,ˈkɑst
kastūɡ,ˈkɑstuːɡ
kaš,ˈkɑʃ
katkõ,ˈkɑtkə
katkismus,ˈkɑtkismus
karū,ˈkɑruː
kaļāj,ˈkɑʎɑːj
kas,ˈkɑs
katōļusk,ˈkɑtoːʎusk
kattõ,ˈkɑtːə
kandõ,ˈkɑndə
kațļā,ˈkɑcʎɑː
ka’žži,ˈkɑˀʒːi
ka’z,ˈkɑˀz
kāinal,ˈkɑːinɑl
kālma,ˈkɑːlmɑ
karri,ˈkɑrːi
karīņțõ,ˈkɑriːɲcə
kaņț,ˈkɑɲc
kāndab,ˈkɑːndɑb
kāndla,ˈkɑːndlɑ
katūks,ˈkɑtuːks
kazātõ,ˈkɑzɑːtə
kānɡaz,ˈkɑːnɡɑz
kāndam,ˈkɑːndɑm
kāndatõ,ˈkɑːndɑtə
kāika,ˈkɑːikɑ
käbā,ˈkæbɑː
käbrāz,ˈkæbrɑːz
kä’dlabā,ˈkæˀdlɑbɑː
kädūks,ˈkæduːks
kä’dvaŗž,ˈkæˀdvɑrʲʒ
kāndõks,ˈkɑːndəks
kāima,ˈkɑːimɑ
kārɡastõ,ˈkɑːrɡɑstə
kärp,ˈkærp
kä’l,ˈkæˀl
kǟnɡa,ˈkæːnɡɑ
kānɡar,ˈkɑːnɡɑr
kǟ’dõ,ˈkæːˀdə
kǟrpa,ˈkæːrpɑ
kǟrani,ˈkæːrɑni
kejā,ˈkejɑː
kem,ˈkem
kemmõ,ˈkemːə
käsk,ˈkæsk
kerīkšõ,ˈkeriːkʃə
kerk,ˈkerk
ke’ržõ,ˈkeˀrʒə
ke’ž,ˈkeˀʒ
käpā,ˈkæpɑː
käskõ,ˈkæskə
kēņiɡ,ˈkeːɲiɡ
kärmi,ˈkærmi
keijõ,ˈkeijə
kēra,ˈkeːrɑ
kēja,ˈkeːjɑ
kēratõks,ˈkeːrɑtəks
kēratõ,ˈkeːrɑtə
kibār,ˈkibɑːr
ki’bḑi,ˈkiˀbɟi
kidūd,ˈkiduːd
kierā,ˈkierɑː
kie’ddõr,ˈkieˀdːər
kēravīț,ˈkeːrɑviːc
kieuž,ˈkieuʒ
kie’v,ˈkieˀv
kievād,ˈkievɑːd
kēk,ˈkeːk
kierdõ,ˈkierdə
kik,ˈkik
kikīm,ˈkikiːm
ki’l,ˈkiˀl
kil,ˈkil
kilā,ˈkilɑː
kild,ˈkild
ki’lɡõ,ˈkiˀlɡə
kilɡõ,ˈkilɡə
kēv,ˈkeːv
kierdi,ˈkierdi
kilɡsõ,ˈkilɡsə
kilmõ,ˈkilmə
kiļ,ˈkiʎ
kiļb,ˈkiʎb
kiļɡ,ˈkiʎɡ
kimdõ,ˈkimdə
kievām,ˈkievɑːm
kimmõz,ˈkimːəz
kindõ,ˈkində
kino,ˈkino
kilɡstõ,ˈkilɡstə
ki’r,ˈkiˀr
kirb,ˈkirb
kirt,ˈkirt
kiņņõ,ˈkiɲːə
kiršt,ˈkirʃt
kistāntõ,ˈkistɑːntə
kitkõ,ˈkitkə
killõ,ˈkilːə
ki’llõ,ˈkiˀlːə
kitsāstiz,ˈkitsɑːstiz
kis,ˈkis
kimp,ˈkimp
ki’zlõ,ˈkiˀzlə
kīebi,ˈkiːebi
kiršõmǭŗa,ˈkirʃəmɒːrʲɑ
kistõ,ˈkistə
kīeldõ,ˈkiːeldə
kīerõ,ˈkiːerə
kīetõ,ˈkiːetə
kī’l,ˈkiːˀl
kīlma,ˈkiːlmɑ
kīedõ,ˈkiːedə
kīļaz,ˈkiːʎɑz
kīndaz,ˈkiːndɑz
kīela,ˈkiːelɑ
kittõb,ˈkitːəb
kīnõmǭ,ˈkiːnəmɒː
kīntš,ˈkiːnt͡ʃ
kīndabǟ,ˈkiːndɑbæː
kīņḑõlpǟva,ˈkiːɲɟəlpæːvɑ
kīņḑõļkū,ˈkiːɲɟəʎkuː
kīndõrbū,ˈkiːndərbuː
kīņtš,ˈkiːɲt͡ʃ
kīraz,ˈkiːrɑz
kīņ,ˈkiːɲ
kīļ,ˈkiːʎ
kītõks,ˈkiːtəks
kīlmakū,ˈkiːlmɑkuː
kīņḑõl,ˈkiːɲɟəl
kīskõ,ˈkiːskə
klūk,ˈkluːk
klūostõr,ˈkluːostər
knīplōka,ˈkniːploːkɑ
ko’ɡɡõrz,ˈkoˀɡːərz
ko’ɡtõ,ˈkoˀɡtə
kok,ˈkok
koks,ˈkoks
knaš,ˈknɑʃ
kontsert,ˈkontsert
kouɡi,ˈkouɡi
kouš,ˈkouʃ
kīvit,ˈkiːvit
kītõbsõnā,ˈkiːtəbsɯnɑː
kovāl,ˈkovɑːl
kovālõz,ˈkovɑːləz
kouvõ,ˈkouvə
konferents,ˈkonferents
kouv,ˈkouv
kǭ’dõkskimdõz,ˈkɒːˀdəkskimdəz
kǭ’dõkssadāz,ˈkɒːˀdəkssɑdɑːz
kǭ’dõkstuoistõnz,ˈkɒːˀdəkstuoistənz
kǭ’dsadāz,ˈkɒːˀdsɑdɑːz
kōɡaz,ˈkoːɡɑz
kǭ’dtuoistõnz,ˈkɒːˀdtuoistənz
kovālstiz,ˈkovɑːlstiz
kǭj,ˈkɒːj
kǭ’dõks,ˈkɒːˀdəks
kǭ’ļõ,ˈkɒːˀʎə
kǭma,ˈkɒːmɑ
kǭmal,ˈkɒːmɑl
kǭņim,ˈkɒːɲim
kǭņtš,ˈkɒːɲt͡ʃ
kōp,ˈkoːp
kōɡi,ˈkoːɡi
kǭ’dkimdõz,ˈkɒːˀdkimdəz
kǭra,ˈkɒːrɑ
kǭ’dõkstuoistõn,ˈkɒːˀdəkstuoistən
kǭ’skõ,ˈkɒːˀskə
kǭ’tõ,ˈkɒːˀtə
kōsta,ˈkoːstɑ
kǭv,ˈkɒːv
kõ’ddõrz,ˈkɯˀdːərz
kõ’l,ˈkɯˀl
kõlā,ˈkɯlɑː
kōpmīez,ˈkoːpmiːez
kõlbõ,ˈkɯlbə
kõps,ˈkɯps
kõm,ˈkɯm
kǭr,ˈkɒːr
kǭrtõz,ˈkɒːrtəz
kõvīst,ˈkɯviːst
kõzīņtõ,ˈkɯziːɲtə
kõ’zzi,ˈkɯˀzːi
kȭlbatõ,ˈkɯːlbɑtə
kȭļim,ˈkɯːʎim
kȭļimkū,ˈkɯːʎimkuː
kȭnka,ˈkɯːnkɑ
kȭrda,ˈkɯːrdɑ
kõzā,ˈkɯzɑː
kȭvaz,ˈkɯːvɑz
krämp,ˈkræmp
krõbīž,ˈkrɯbiːʒ
krupā,ˈkrupɑː
kruțk,ˈkruck
krūoɡõ,ˈkruːoɡə
krūz,ˈkruːz
kȭidaz,ˈkɯːidɑz
kȭr,ˈkɯːr
ku,ˈku
ku’d,ˈkuˀd
kud,ˈkuˀd
kui,ˈkui
ku’bbõ,ˈkuˀbːə
kramā,ˈkrɑmɑː
kukki,ˈkukːi
kukkõ,ˈkukːə
kukkõr,ˈkukːər
krī’evmǭ,ˈkriːˀevmɒː
kukurūz,ˈkukuruːz
ku’l,ˈkuˀl
ku’bs,ˈkuˀbs
kuldīɡ,ˈkuldiːɡ
kummit,ˈkumːit
kuļ,ˈkuʎ
kuijõ,ˈkuijə
kuņšt,ˈkuɲʃt
kukkõrz,ˈkukːərz
kuņtš,ˈkuɲt͡ʃ
kuodāj,ˈkuodɑːj
kunāɡõst,ˈkunɑːɡəst
kunā,ˈkunɑː
kuoi,ˈkuoi
kuolm,ˈkuolm
kuolmi,ˈkuolmi
kuolmiņ,ˈkuolmiɲ
kuodā,ˈkuodɑː
kuolmõndpǟva,ˈkuolməndpæːvɑ
kuolmkimdõ,ˈkuolmkimdə
kuolmtuoistõn,ˈkuolmtuoistən
kultūr,ˈkultuːr
kuorbõ,ˈkuorbə
kuolmtuoistõnz,ˈkuolmtuoistənz
kuolmkimdõz,ˈkuolmkimdəz
kuolmsadāz,ˈkuolmsɑdɑːz
kuorrõl,ˈkuorːəl
kuo’ndõ,ˈkuoˀndə
kuondõ,ˈkuondə
kuostõ,ˈkuostə
kuolmõz,ˈkuolməz
kuoț,ˈkuoc
kuotkānõz,ˈkuotkɑːnəz
kuppõnsēmḑa,ˈkupːənseːmɟɑ
kuo’nnõ,ˈkuoˀnːə
kurā,ˈkurɑː
kurāmǭ,ˈkurɑːmɒː
kurɡ,ˈkurɡ
kupšā,ˈkupʃɑː
kurɡmǭŗa,ˈkurɡmɒːrʲɑ
kuordist,ˈkuordist
ku’rmǭ,ˈkuˀrmɒː
kurk,ˈkurk
kus,ˈkus
kuskis,ˈkuskis
kuțā,ˈkucɑː
ku’zzõ,ˈkuˀzːə
kū,ˈkuː
kūdtuoistõnz,ˈkuːdtuoistənz
kurli,ˈkurli
kūja,ˈkuːjɑ
kuoštrõɡ,ˈkuoʃtrəɡ
kūlda,ˈkuːldɑ
kūdsadāz,ˈkuːdsɑdɑːz
kūlõ,ˈkuːlə
kūjastõ,ˈkuːjɑstə
