orthography,gold,prediction,accuracy
ijen,/ˈijen/,/ˈijen/,0.0
ijulʹa,/ˈijulʲɑ/,/ˈijulʲɑ/,0.0
ijunʹa,/ˈijunʲɑ/,/ˈijunʲɑ/,0.0
ikä,/ˈikæ/,/ˈikæ/,0.0
ilda,/ˈildɑ/,/ˈildɑ/,0.0
ilma,/ˈilmɑ/,/ˈilmɑ/,0.0
ilta,/ˈiltɑ/,/ˈiltɑ/,0.0
ilveyš,/ˈilʋey̯ʃ/,/ˈilʋey̯ʃ/,0.0
ilveš,/ˈilʋeʃ/,/ˈilʋeʃ/,0.0
imadra,/ˈimɑdrɑ/,/ˈimɑdrɑ/,0.0
istuo,/ˈistuo̯/,/ˈistuo̯/,0.0
itikkä,/ˈitʲikːæ/,/ˈitʲikːæ/,0.0
iče,/ˈit͡ʃe/,/ˈit͡ʃe/,0.0
iččeh,/ˈit͡ʃːeh/,/ˈit͡ʃːeh/,0.0
iččeni,/ˈit͡ʃːenʲi/,/ˈit͡ʃːenʲi/,0.0
iččeš,/ˈit͡ʃːeʃ/,/ˈit͡ʃːeʃ/,0.0
izä,/ˈizʲæ/,/ˈizʲæ/,0.0
iäni,/ˈiæ̯nʲi/,/ˈiæ̯nʲi/,0.0
iäreh,/ˈiæ̯reh/,/ˈiæ̯reh/,0.0
jevrei,/ˈjeʋrei̯/,/ˈjeʋrei̯/,0.0
jiä,/ˈjiæ̯/,/ˈjiæ̯/,0.0
jiähä,/ˈjiæ̯hæ/,/ˈjiæ̯hæ/,0.0
jo,/ˈjo/,/ˈjo/,0.0
joko,/ˈjoko/,/ˈjoko/,0.0
joka,/ˈjokɑ/,/ˈjokɑ/,0.0
joučen,/ˈjou̯t͡ʃen/,/ˈjou̯t͡ʃen/,0.0
jouši,/ˈjou̯ʃi/,/ˈjou̯ʃi/,0.0
jumala,/ˈjumɑlɑ/,/ˈjumɑlɑ/,0.0
juuri,/ˈjuːri/,/ˈjuːri/,0.0
jykie,/ˈjykie̯/,/ˈjykie̯/,0.0
jänis,/ˈjænʲis/,/ˈjænʲis/,0.0
jänisʹ,/ˈjænʲisʲ/,/ˈjænʲisʲ/,0.0
järvi,/ˈjærʋi/,/ˈjærʋi/,0.0
jalka,/ˈjɑlkɑ/,/ˈjɑlkɑ/,0.0
janhus,/ˈjɑnhus/,/ˈjɑnhus/,0.0
jauho,/ˈjɑu̯ho/,/ˈjɑu̯ho/,0.0
jauhuo,/ˈjɑu̯huo̯/,/ˈjɑu̯huo̯/,0.0
keldane,/ˈkeldɑnʲe/,/ˈkeldɑnʲe/,0.0
keltani,/ˈkeltɑnʲi/,/ˈkeltɑnʲi/,0.0
keli,/ˈkelʲi/,/ˈkelʲi/,0.0
kello,/ˈkelːo/,/ˈkelːo/,0.0
ken,/ˈken/,/ˈken/,0.0
kerppu,/ˈkerpːu/,/ˈkerpːu/,0.0
kerroš,/ˈkerːoʃ/,/ˈkerːoʃ/,0.0
keyhä,/ˈkey̯hæ/,/ˈkey̯hæ/,0.0
kešä,/ˈkeʃæ/,/ˈkeʃæ/,0.0
keviä,/ˈkeʋiæ̯/,/ˈkeʋiæ̯/,0.0
kevät,/ˈkeʋæt/,/ˈkeʋæt/,0.0
kibie,/ˈkibie̯/,/ˈkibie̯/,0.0
kibu,/ˈkibu/,/ˈkibu/,0.0
kieli,/ˈkie̯lʲi/,/ˈkie̯lʲi/,0.0
kilpailu,/ˈkilpɑi̯lu/,/ˈkilpɑi̯lu/,0.0
kipie,/ˈkipie̯/,/ˈkipie̯/,0.0
kipu,/ˈkipu/,/ˈkipu/,0.0
kirikkö,/ˈkirikːø/,/ˈkirikːø/,0.0
kiukua,/ˈkiu̯kuɑ̯/,/ˈkiu̯kuɑ̯/,0.0
kišša,/ˈkiʃːɑ/,/ˈkiʃːɑ/,0.0
kivi,/ˈkiʋi/,/ˈkiʋi/,0.0
kivyäri,/ˈkiʋyæ̯ri/,/ˈkiʋyæ̯ri/,0.0
kivari,/ˈkiʋɑri/,/ˈkiʋɑri/,0.0
kiitoš,/ˈkiːtoʃ/,/ˈkiːtoʃ/,0.0
klʹukka,/ˈklʲukːɑ/,/ˈklʲukːɑ/,0.0
kniika,/ˈknʲiːkɑ/,/ˈknʲiːkɑ/,0.0
kodi,/ˈkodʲi/,/ˈkodʲi/,0.0
kohta,/ˈkohtɑ/,/ˈkohtɑ/,0.0
koi,/ˈkoi̯/,/ˈkoi̯/,0.0
koira,/ˈkoi̯rɑ/,/ˈkoi̯rɑ/,0.0
koivu,/ˈkoi̯ʋu/,/ˈkoi̯ʋu/,0.0
kojitoin,/ˈkojitoi̯n/,/ˈkojitoi̯n/,0.0
kokka,/ˈkokːɑ/,/ˈkokːɑ/,0.0
kolme,/ˈkolme/,/ˈkolme/,0.0
kolmaš,/ˈkolmɑʃ/,/ˈkolmɑʃ/,0.0
konša,/ˈkonʃɑ/,/ˈkonʃɑ/,0.0
konža,/ˈkonʒɑ/,/ˈkonʒɑ/,0.0
kopeikka,/ˈkopei̯kːɑ/,/ˈkopei̯kːɑ/,0.0
korbi,/ˈkorbi/,/ˈkorbi/,0.0
korenda,/ˈkorendɑ/,/ˈkorendɑ/,0.0
korento,/ˈkorento/,/ˈkorento/,0.0
korkie,/ˈkorkie̯/,/ˈkorkie̯/,0.0
kormano,/ˈkormɑno/,/ˈkormɑno/,0.0
kormani,/ˈkormɑnʲi/,/ˈkormɑnʲi/,0.0
korpi,/ˈkorpi/,/ˈkorpi/,0.0
korva,/ˈkorʋɑ/,/ˈkorʋɑ/,0.0
kostʹa,/ˈkostʲɑ/,/ˈkostʲɑ/,0.0
kotka,/ˈkotkɑ/,/ˈkotkɑ/,0.0
koti,/ˈkotʲi/,/ˈkotʲi/,0.0
koški,/ˈkoʃki/,/ˈkoʃki/,0.0
kova,/ˈkoʋɑ/,/ˈkoʋɑ/,0.0
krečču,/ˈkret͡ʃːu/,/ˈkret͡ʃːu/,0.0
kruška,/ˈkruʃkɑ/,/ˈkruʃkɑ/,0.0
kruuška,/ˈkruːʃkɑ/,/ˈkruːʃkɑ/,0.0
ku,/ˈku/,/ˈku/,0.0
kukko,/ˈkukːo/,/ˈkukːo/,0.0
kukka,/ˈkukːɑ/,/ˈkukːɑ/,0.0
kulku,/ˈkulku/,/ˈkulku/,0.0
kulkku,/ˈkulkːu/,/ˈkulkːu/,0.0
kumbane,/ˈkumbɑnʲe/,/ˈkumbɑnʲe/,0.0
kumpi,/ˈkumpi/,/ˈkumpi/,0.0
kumpani,/ˈkumpɑnʲi/,/ˈkumpɑnʲi/,0.0
kuničča,/ˈkunʲit͡ʃːɑ/,/ˈkunʲit͡ʃːɑ/,0.0
kuore,/ˈkuo̯re/,/ˈkuo̯re/,0.0
kurki,/ˈkurki/,/ˈkurki/,0.0
kurva,/ˈkurʋɑ/,/ˈkurʋɑ/,0.0
kuali,/ˈkuɑ̯lʲi/,/ˈkuɑ̯lʲi/,0.0
kuva,/ˈkuʋɑ/,/ˈkuʋɑ/,0.0
kuu,/ˈkuː/,/ˈkuː/,0.0
kuuši,/ˈkuːʃi/,/ˈkuːʃi/,0.0
kyly,/ˈkylʲy/,/ˈkylʲy/,0.0
kylä,/ˈkylʲæ/,/ˈkylʲæ/,0.0
kärki,/ˈkærki/,/ˈkærki/,0.0
käsi,/ˈkæsʲi/,/ˈkæsʲi/,0.0
kätyt,/ˈkætʲyt/,/ˈkætʲyt/,0.0
käyvvä,/ˈkæy̯ʋːæ/,/ˈkæy̯ʋːæ/,0.0
käzi,/ˈkæzʲi/,/ˈkæzʲi/,0.0
köyhä,/ˈkøy̯hæ/,/ˈkøy̯hæ/,0.0
kahekšan,/ˈkɑhekʃɑn/,/ˈkɑhekʃɑn/,0.0
kahvi,/ˈkɑhʋi/,/ˈkɑhʋi/,0.0
kainalo,/ˈkɑi̯nɑlo/,/ˈkɑi̯nɑlo/,0.0
kaivo,/ˈkɑi̯ʋo/,/ˈkɑi̯ʋo/,0.0
kaivua,/ˈkɑi̯ʋuɑ̯/,/ˈkɑi̯ʋuɑ̯/,0.0
kakla,/ˈkɑklɑ/,/ˈkɑklɑ/,0.0
kakattua,/ˈkɑkɑtːuɑ̯/,/ˈkɑkɑtːuɑ̯/,0.0
kakši,/ˈkɑkʃi/,/ˈkɑkʃi/,0.0
kala,/ˈkɑlɑ/,/ˈkɑlɑ/,0.0
kampala,/ˈkɑmpɑlɑ/,/ˈkɑmpɑlɑ/,0.0
kando,/ˈkɑndo/,/ˈkɑndo/,0.0
kanda,/ˈkɑndɑ/,/ˈkɑndɑ/,0.0
kanto,/ˈkɑnto/,/ˈkɑnto/,0.0
kanta,/ˈkɑntɑ/,/ˈkɑntɑ/,0.0
kana,/ˈkɑnɑ/,/ˈkɑnɑ/,0.0
kanši,/ˈkɑnʃi/,/ˈkɑnʃi/,0.0
kani,/ˈkɑnʲi/,/ˈkɑnʲi/,0.0
kapusta,/ˈkɑpustɑ/,/ˈkɑpustɑ/,0.0
karhu,/ˈkɑrhu/,/ˈkɑrhu/,0.0
karjala,/ˈkɑrjɑlɑ/,/ˈkɑrjɑlɑ/,0.0
kartouhka,/ˈkɑrtou̯hkɑ/,/ˈkɑrtou̯hkɑ/,0.0
karu,/ˈkɑru/,/ˈkɑru/,0.0
kasi,/ˈkɑsʲi/,/ˈkɑsʲi/,0.0
kauha,/ˈkɑu̯hɑ/,/ˈkɑu̯hɑ/,0.0
kaunis,/ˈkɑu̯nʲis/,/ˈkɑu̯nʲis/,0.0
kaunisʹ,/ˈkɑu̯nʲisʲ/,/ˈkɑu̯nʲisʲ/,0.0
kazi,/ˈkɑzʲi/,/ˈkɑzʲi/,0.0
lokka,/ˈlokːɑ/,/ˈlokːɑ/,0.0
louhi,/ˈlou̯hi/,/ˈlou̯hi/,0.0
lukku,/ˈlukːu/,/ˈlukːu/,0.0
lumi,/ˈlumi/,/ˈlumi/,0.0
lusikka,/ˈlusʲikːɑ/,/ˈlusʲikːɑ/,0.0
lutikka,/ˈlutʲikːɑ/,/ˈlutʲikːɑ/,0.0
luzikka,/ˈluzʲikːɑ/,/ˈluzʲikːɑ/,0.0
luu,/ˈluː/,/ˈluː/,0.0
laki,/ˈlɑki/,/ˈlɑki/,0.0
lakši,/ˈlɑkʃi/,/ˈlɑkʃi/,0.0
lambi,/ˈlɑmbi/,/ˈlɑmbi/,0.0
lampi,/ˈlɑmpi/,/ˈlɑmpi/,0.0
lapši,/ˈlɑpʃi/,/ˈlɑpʃi/,0.0
laukku,/ˈlɑu̯kːu/,/ˈlɑu̯kːu/,0.0
lehmä,/ˈlʲehmæ/,/ˈlʲehmæ/,0.0
leppä,/ˈlʲepːæ/,/ˈlʲepːæ/,0.0
lika,/ˈlʲikɑ/,/ˈlʲikɑ/,0.0
lindu,/ˈlʲindu/,/ˈlʲindu/,0.0
lintu,/ˈlʲintu/,/ˈlʲintu/,0.0
linna,/ˈlʲinːɑ/,/ˈlʲinːɑ/,0.0
liävä,/ˈlʲiæ̯ʋæ/,/ˈlʲiæ̯ʋæ/,0.0
liiva,/ˈlʲiːʋɑ/,/ˈlʲiːʋɑ/,0.0
lypšiä,/ˈlʲypʃiæ̯/,/ˈlʲypʃiæ̯/,0.0
lypšyä,/ˈlʲypʃyæ̯/,/ˈlʲypʃyæ̯/,0.0
lämmin,/ˈlʲæmːin/,/ˈlʲæmːin/,0.0
mela,/ˈmelɑ/,/ˈmelɑ/,0.0
mennä,/ˈmenːæ/,/ˈmenːæ/,0.0
merda,/ˈmerdɑ/,/ˈmerdɑ/,0.0
meri,/ˈmeri/,/ˈmeri/,0.0
merta,/ˈmertɑ/,/ˈmertɑ/,0.0
meččo,/ˈmet͡ʃːo/,/ˈmet͡ʃːo/,0.0
meččä,/ˈmet͡ʃːæ/,/ˈmet͡ʃːæ/,0.0
mi,/ˈmi/,/ˈmi/,0.0
mie,/ˈmie̯/,/ˈmie̯/,0.0
mieš,/ˈmie̯ʃ/,/ˈmie̯ʃ/,0.0
minih,/ˈminʲih/,/ˈminʲih/,0.0
muru,/ˈmuru/,/ˈmuru/,0.0
mua,/ˈmuɑ̯/,/ˈmuɑ̯/,0.0
muamo,/ˈmuɑ̯mo/,/ˈmuɑ̯mo/,0.0
mušta,/ˈmuʃtɑ/,/ˈmuʃtɑ/,0.0
muu,/ˈmuː/,/ˈmuː/,0.0
mykrä,/ˈmykræ/,/ˈmykræ/,0.0
myö,/ˈmyø̯/,/ˈmyø̯/,0.0
mäkrä,/ˈmækræ/,/ˈmækræ/,0.0
männä,/ˈmænːæ/,/ˈmænːæ/,0.0
mado,/ˈmɑdo/,/ˈmɑdo/,0.0
mai,/ˈmɑi̯/,/ˈmɑi̯/,0.0
maido,/ˈmɑi̯do/,/ˈmɑi̯do/,0.0
maito,/ˈmɑi̯to/,/ˈmɑi̯to/,0.0
mančikka,/ˈmɑnt͡ʃikːɑ/,/ˈmɑnt͡ʃikːɑ/,0.0
manšikka,/ˈmɑnʃikːɑ/,/ˈmɑnʃikːɑ/,0.0
marta,/ˈmɑrtɑ/,/ˈmɑrtɑ/,0.0
mato,/ˈmɑto/,/ˈmɑto/,0.0
noita,/ˈnoi̯tɑ/,/ˈnoi̯tɑ/,0.0
nojabrʹa,/ˈnojɑbrʲɑ/,/ˈnojɑbrʲɑ/,0.0
noki,/ˈnoki/,/ˈnoki/,0.0
nuo,/ˈnuo̯/,/ˈnuo̯/,0.0
nuori,/ˈnuo̯ri/,/ˈnuo̯ri/,0.0
naine,/ˈnɑi̯nʲe/,/ˈnɑi̯nʲe/,0.0
ne,/ˈnʲe/,/ˈnʲe/,0.0
nero,/ˈnʲero/,/ˈnʲero/,0.0
niekla,/ˈnʲie̯klɑ/,/ˈnʲie̯klɑ/,0.0
niken,/ˈnʲiken/,/ˈnʲiken/,0.0
nimi,/ˈnʲimi/,/ˈnʲimi/,0.0
niädä,/ˈnʲiæ̯dæ/,/ˈnʲiæ̯dæ/,0.0
niätä,/ˈnʲiæ̯tæ/,/ˈnʲiæ̯tæ/,0.0
nʹokka,/ˈnʲokːɑ/,/ˈnʲokːɑ/,0.0
nämä,/ˈnʲæmæ/,/ˈnʲæmæ/,0.0
oktʹabrʹa,/ˈoktʲɑbrʲɑ/,/ˈoktʲɑbrʲɑ/,0.0
olut,/ˈolut/,/ˈolut/,0.0
oraš,/ˈorɑʃ/,/ˈorɑʃ/,0.0
orava,/ˈorɑʋɑ/,/ˈorɑʋɑ/,0.0
osra,/ˈosrɑ/,/ˈosrɑ/,0.0
očča,/ˈot͡ʃːɑ/,/ˈot͡ʃːɑ/,0.0
ozra,/ˈozrɑ/,/ˈozrɑ/,0.0
ovi,/ˈoʋi/,/ˈoʋi/,0.0
pedra,/ˈpedrɑ/,/ˈpedrɑ/,0.0
peili,/ˈpei̯lʲi/,/ˈpei̯lʲi/,0.0
peldo,/ˈpeldo/,/ˈpeldo/,0.0
pelto,/ˈpelto/,/ˈpelto/,0.0
pereh,/ˈpereh/,/ˈpereh/,0.0
petra,/ˈpetrɑ/,/ˈpetrɑ/,0.0
pillu,/ˈpilːu/,/ˈpilːu/,0.0
pimie,/ˈpimie̯/,/ˈpimie̯/,0.0
pitkä,/ˈpitkæ/,/ˈpitkæ/,0.0
piä,/ˈpiæ̯/,/ˈpiæ̯/,0.0
piäh,/ˈpiæ̯h/,/ˈpiæ̯h/,0.0
piäššä,/ˈpiæ̯ʃːæ/,/ˈpiæ̯ʃːæ/,0.0
pii,/ˈpiː/,/ˈpiː/,0.0
piirdiä,/ˈpiːrdʲiæ̯/,/ˈpiːrdʲiæ̯/,0.0
poika,/ˈpoi̯kɑ/,/ˈpoi̯kɑ/,0.0
pois,/ˈpoi̯s/,/ˈpoi̯s/,0.0
poisʹ,/ˈpoi̯sʲ/,/ˈpoi̯sʲ/,0.0
pokko,/ˈpokːo/,/ˈpokːo/,0.0
porraš,/ˈporːɑʃ/,/ˈporːɑʃ/,0.0
priha,/ˈprihɑ/,/ˈprihɑ/,0.0
präkkö,/ˈprækːø/,/ˈprækːø/,0.0
pränä,/ˈprænʲæ/,/ˈprænʲæ/,0.0
purku,/ˈpurku/,/ˈpurku/,0.0
puu,/ˈpuː/,/ˈpuː/,0.0
pyššy,/ˈpyʃːy/,/ˈpyʃːy/,0.0
päivä,/ˈpæi̯ʋæ/,/ˈpæi̯ʋæ/,0.0
paha,/ˈpɑhɑ/,/ˈpɑhɑ/,0.0
paikka,/ˈpɑi̯kːɑ/,/ˈpɑi̯kːɑ/,0.0
paimen,/ˈpɑi̯men/,/ˈpɑi̯men/,0.0
painajaini,/ˈpɑi̯nɑjɑi̯nʲi/,/ˈpɑi̯nɑjɑi̯nʲi/,0.0
pakkani,/ˈpɑkːɑnʲi/,/ˈpɑkːɑnʲi/,0.0
palava,/ˈpɑlɑʋɑ/,/ˈpɑlɑʋɑ/,0.0
pavarča,/ˈpɑʋɑrt͡ʃɑ/,/ˈpɑʋɑrt͡ʃɑ/,0.0
rebo,/ˈrebo/,/ˈrebo/,0.0
repo,/ˈrepo/,/ˈrepo/,0.0
rikaš,/ˈrikɑʃ/,/ˈrikɑʃ/,0.0
riähkä,/ˈriæ̯hkæ/,/ˈriæ̯hkæ/,0.0
rotta,/ˈrotːɑ/,/ˈrotːɑ/,0.0
ruoho,/ˈruo̯ho/,/ˈruo̯ho/,0.0
ruočči,/ˈruo̯t͡ʃːi/,/ˈruo̯t͡ʃːi/,0.0
ruškie,/ˈruʃkie̯/,/ˈruʃkie̯/,0.0
ružja,/ˈruʒjɑ/,/ˈruʒjɑ/,0.0
ryšä,/ˈryʃæ/,/ˈryʃæ/,0.0
rahvaš,/ˈrɑhʋɑʃ/,/ˈrɑhʋɑʃ/,0.0
smeja,/ˈsmejɑ/,/ˈsmejɑ/,0.0
sakona,/ˈsɑkonɑ/,/ˈsɑkonɑ/,0.0
se,/ˈsʲe/,/ˈsʲe/,0.0
toine,/ˈtoi̯nʲe/,/ˈtoi̯nʲe/,0.0
toini,/ˈtoi̯nʲi/,/ˈtoi̯nʲi/,0.0
tosi,/ˈtosʲi/,/ˈtosʲi/,0.0
tuhat,/ˈtuhɑt/,/ˈtuhɑt/,0.0
tuisku,/ˈtui̯sku/,/ˈtui̯sku/,0.0
tuo,/ˈtuo̯/,/ˈtuo̯/,0.0
tuatto,/ˈtuɑ̯tːo/,/ˈtuɑ̯tːo/,0.0
tuaš,/ˈtuɑ̯ʃ/,/ˈtuɑ̯ʃ/,0.0
tuukkaja,/ˈtuːkːɑjɑ/,/ˈtuːkːɑjɑ/,0.0
tuuli,/ˈtuːlʲi/,/ˈtuːlʲi/,0.0
ta,/ˈtɑ/,/ˈtɑ/,0.0
talvi,/ˈtɑlʋi/,/ˈtɑlʋi/,0.0
tammi,/ˈtɑmːi/,/ˈtɑmːi/,0.0
tammikko,/ˈtɑmːikːo/,/ˈtɑmːikːo/,0.0
tie,/ˈtʲie̯/,/ˈtʲie̯/,0.0
tikka,/ˈtʲikːɑ/,/ˈtʲikːɑ/,0.0
tytär,/ˈtʲytʲær/,/ˈtʲytʲær/,0.0
työ,/ˈtʲyø̯/,/ˈtʲyø̯/,0.0
täh,/ˈtʲæh/,/ˈtʲæh/,0.0
tämä,/ˈtʲæmæ/,/ˈtʲæmæ/,0.0
čiba,/ˈt͡ʃibɑ/,/ˈt͡ʃibɑ/,0.0
čikko,/ˈt͡ʃikːo/,/ˈt͡ʃikːo/,0.0
čirpi,/ˈt͡ʃirpi/,/ˈt͡ʃirpi/,0.0
čirppi,/ˈt͡ʃirpːi/,/ˈt͡ʃirpːi/,0.0
čiili,/ˈt͡ʃiːlʲi/,/ˈt͡ʃiːlʲi/,0.0
čakka,/ˈt͡ʃɑkːɑ/,/ˈt͡ʃɑkːɑ/,0.0
ukko,/ˈukːo/,/ˈukːo/,0.0
uni,/ˈunʲi/,/ˈunʲi/,0.0
uuni,/ˈuːnʲi/,/ˈuːnʲi/,0.0
yhekšän,/ˈyhekʃæn/,/ˈyhekʃæn/,0.0
yksi,/ˈyksʲi/,/ˈyksʲi/,0.0
yö,/ˈyø̯/,/ˈyø̯/,0.0
yškä,/ˈyʃkæ/,/ˈyʃkæ/,0.0
zmeja,/ˈzmejɑ/,/ˈzmejɑ/,0.0
zakona,/ˈzɑkonɑ/,/ˈzɑkonɑ/,0.0
zirkalo,/ˈzʲirkɑlo/,/ˈzʲirkɑlo/,0.0
äijä,/ˈæi̯jæ/,/ˈæi̯jæ/,0.0
äijän,/ˈæi̯jæn/,/ˈæi̯jæn/,0.0
äkevyš,/ˈækeʋyʃ/,/ˈækeʋyʃ/,0.0
äkie,/ˈækie̯/,/ˈækie̯/,0.0
ämmä,/ˈæmːæ/,/ˈæmːæ/,0.0
ämmö,/ˈæmːø/,/ˈæmːø/,0.0
abie,/ˈɑbie̯/,/ˈɑbie̯/,0.0
abu,/ˈɑbu/,/ˈɑbu/,0.0
adra,/ˈɑdrɑ/,/ˈɑdrɑ/,0.0
adivo,/ˈɑdʲiʋo/,/ˈɑdʲiʋo/,0.0
ahe,/ˈɑhe/,/ˈɑhe/,0.0
ahjo,/ˈɑhjo/,/ˈɑhjo/,0.0
ahkera,/ˈɑhkerɑ/,/ˈɑhkerɑ/,0.0
ahkivo,/ˈɑhkiʋo/,/ˈɑhkiʋo/,0.0
ahku,/ˈɑhku/,/ˈɑhku/,0.0
ahmo,/ˈɑhmo/,/ˈɑhmo/,0.0
ahtivo,/ˈɑhtʲiʋo/,/ˈɑhtʲiʋo/,0.0
ahaš,/ˈɑhɑʃ/,/ˈɑhɑʃ/,0.0
aida,/ˈɑi̯dɑ/,/ˈɑi̯dɑ/,0.0
aika,/ˈɑi̯kɑ/,/ˈɑi̯kɑ/,0.0
ainoš,/ˈɑi̯noʃ/,/ˈɑi̯noʃ/,0.0
airo,/ˈɑi̯ro/,/ˈɑi̯ro/,0.0
aita,/ˈɑi̯tɑ/,/ˈɑi̯tɑ/,0.0
aitta,/ˈɑi̯tːɑ/,/ˈɑi̯tːɑ/,0.0
aivot,/ˈɑi̯ʋot/,/ˈɑi̯ʋot/,0.0
akottuo,/ˈɑkotːuo̯/,/ˈɑkotːuo̯/,0.0
akka,/ˈɑkːɑ/,/ˈɑkːɑ/,0.0
aloveh,/ˈɑloʋeh/,/ˈɑloʋeh/,0.0
altina,/ˈɑltʲinɑ/,/ˈɑltʲinɑ/,0.0
alah,/ˈɑlɑh/,/ˈɑlɑh/,0.0
allaš,/ˈɑlːɑʃ/,/ˈɑlːɑʃ/,0.0
anoppi,/ˈɑnopːi/,/ˈɑnopːi/,0.0
apie,/ˈɑpie̯/,/ˈɑpie̯/,0.0
apu,/ˈɑpu/,/ˈɑpu/,0.0
appi,/ˈɑpːi/,/ˈɑpːi/,0.0
arhelei,/ˈɑrhelʲei̯/,/ˈɑrhelʲei̯/,0.0
armo,/ˈɑrmo/,/ˈɑrmo/,0.0
